PluName=???? ???? ????? ????? ???? ???????,LFCode=10761,Code=6072,BarCode=101,Rebate=0,UnitPrice=2870,WeightUnit=4,Deptment=0,Tare=0,ShlefTime=0,PackageType=0,PackageWeight=0,Tolerance=0,Message1=0,MultiLabel=0,HotKey=0,iRecNO=47
PluName=????? ???? ???????,LFCode=761,Code=8112,BarCode=101,Rebate=0,UnitPrice=495,WeightUnit=4,Deptment=0,Tare=0,ShlefTime=0,PackageType=0,PackageWeight=0,Tolerance=0,Message1=0,MultiLabel=0,HotKey=0,iRecNO=48
PluName=??? ??? ???? ???? ???????,LFCode=10753,Code=5996,BarCode=101,Rebate=0,UnitPrice=5070,WeightUnit=4,Deptment=0,Tare=0,ShlefTime=0,PackageType=0,PackageWeight=0,Tolerance=0,Message1=0,MultiLabel=0,HotKey=0,iRecNO=49
PluName=????? ???? ????,LFCode=753,Code=7643,BarCode=101,Rebate=0,UnitPrice=550,WeightUnit=4,Deptment=0,Tare=0,ShlefTime=0,PackageType=0,PackageWeight=0,Tolerance=0,Message1=0,MultiLabel=0,HotKey=0,iRecNO=50
PluName=???? ???? ???????? ??? ????? ??????,LFCode=602,Code=4060,BarCode=101,Rebate=0,UnitPrice=2595,WeightUnit=4,Deptment=0,Tare=0,ShlefTime=0,PackageType=0,PackageWeight=0,Tolerance=0,Message1=0,MultiLabel=0,HotKey=0,iRecNO=51
PluName=???? ???? ??? ????? ??????? / ?????,LFCode=10602,Code=5226,BarCode=101,Rebate=0,UnitPrice=3335,WeightUnit=4,Deptment=0,Tare=0,ShlefTime=0,PackageType=0,PackageWeight=0,Tolerance=0,Message1=0,MultiLabel=0,HotKey=0,iRecNO=52
PluName=???? ??? ???? ????? ???????,LFCode=10707,Code=5651,BarCode=101,Rebate=0,UnitPrice=980,WeightUnit=4,Deptment=0,Tare=0,ShlefTime=0,PackageType=0,PackageWeight=0,Tolerance=0,Message1=0,MultiLabel=0,HotKey=0,iRecNO=53
PluName=???? ????? ???????,LFCode=707,Code=6942,BarCode=101,Rebate=0,UnitPrice=660,WeightUnit=4,Deptment=0,Tare=0,ShlefTime=0,PackageType=0,PackageWeight=0,Tolerance=0,Message1=0,MultiLabel=0,HotKey=0,iRecNO=54
PluName=??? ????? ???? 6 ????FO5 3509,LFCode=10095,Code=1831,BarCode=101,Rebate=0,UnitPrice=4730,WeightUnit=4,Deptment=0,Tare=0,ShlefTime=0,PackageType=0,PackageWeight=0,Tolerance=0,Message1=0,MultiLabel=0,HotKey=95,iRecNO=55
PluName=??????? ???? ???????? ?????????????/,LFCode=95,Code=2118,BarCode=101,Rebate=0,UnitPrice=3445,WeightUnit=4,Deptment=0,Tare=0,ShlefTime=0,PackageType=0,PackageWeight=0,Tolerance=0,Message1=0,MultiLabel=0,HotKey=0,iRecNO=56
PluName=???? ??????? ??????? ?????? ???????,LFCode=34,Code=6201,BarCode=101,Rebate=0,UnitPrice=1695,WeightUnit=4,Deptment=0,Tare=0,ShlefTime=0,PackageType=0,PackageWeight=0,Tolerance=0,Message1=0,MultiLabel=0,HotKey=0,iRecNO=57
PluName=???? ?????? ?? ???? ???? ???????,LFCode=29034,Code=6618,BarCode=101,Rebate=0,UnitPrice=1645000,WeightUnit=4,Deptment=0,Tare=0,ShlefTime=0,PackageType=0,PackageWeight=0,Tolerance=0,Message1=0,MultiLabel=0,HotKey=0,iRecNO=58
PluName=???? ???? ???? ???????,LFCode=288,Code=5633,BarCode=101,Rebate=0,UnitPrice=1305,WeightUnit=4,Deptment=0,Tare=0,ShlefTime=0,PackageType=0,PackageWeight=0,Tolerance=0,Message1=0,MultiLabel=0,HotKey=0,iRecNO=59
PluName=???? ?????? ??????? ???????,LFCode=29288,Code=7055,BarCode=101,Rebate=0,UnitPrice=1375,WeightUnit=4,Deptment=0,Tare=0,ShlefTime=0,PackageType=0,PackageWeight=0,Tolerance=0,Message1=0,MultiLabel=0,HotKey=0,iRecNO=60
