0;8;14
مربى تين;83;1.035;Arial;12;0;-16777216;-1;;;0;Arial;12;0;-16777216;-1;0;0;0;
مربى مشمش;84;1.035;Arial;12;0;-16777216;-1;;;0;Arial;12;0;-16777216;-1;0;0;0;
مربى توت;85;1.035;Arial;12;0;-16777216;-1;;;0;Arial;12;0;-16777216;-1;0;0;0;
مربى كرز;86;1.035;Arial;12;0;-16777216;-1;;;0;Arial;12;0;-16777216;-1;0;0;0;
مربى الفراوله;87;1.035;Arial;12;0;-16777216;-1;;;0;Arial;12;0;-16777216;-1;0;0;0;
جبنة بالمكدوس;88;1.695;Arial;12;0;-16777216;-1;;;0;Arial;12;0;-16777216;-1;0;0;0;
مرتديلا نبيل سادة;89;2.99;Arial;12;0;-16777216;-1;;;0;Arial;12;0;-16777216;-1;0;0;0;
مرتديلا نبيل بالزيتون;90;2.99;Arial;12;0;-16777216;-1;;;0;Arial;12;0;-16777216;-1;0;0;0;
مرتديلا نبيل بالفلفل;91;2.99;Arial;12;0;-16777216;-1;;;0;Arial;12;0;-16777216;-1;0;0;0;
مرتديلا نايف سادة;92;2.07;Arial;12;0;-16777216;-1;;;0;Arial;12;0;-16777216;-1;0;0;0;
مرتديلا نايف بالزيتون;93;2.07;Arial;12;0;-16777216;-1;;;0;Arial;12;0;-16777216;-1;0;0;0;
مرتديلا نايف بالفلفل;94;2.07;Arial;12;0;-16777216;-1;;;0;Arial;12;0;-16777216;-1;0;0;0;
مرتديلا دجاج سادة;95;2.245;Arial;12;0;-16777216;-1;;;0;Arial;12;0;-16777216;-1;0;0;0;
مرتديلا دجاج بالزيتون;96;2.245;Arial;12;0;-16777216;-1;;;0;Arial;12;0;-16777216;-1;0;0;0;
مرتديلا دجاج بالفلفل;97;2.245;Arial;12;0;-16777216;-1;;;0;Arial;12;0;-16777216;-1;0;0;0;
;;0;Arial;12;0;-16777216;-1;;;0;Arial;12;0;-16777216;-1;0;0;0;
;;0;Arial;12;0;-16777216;-1;;;0;Arial;12;0;-16777216;-1;0;0;0;
;;0;Arial;12;0;-16777216;-1;;;0;Arial;12;0;-16777216;-1;0;0;0;
;;0;Arial;12;0;-16777216;-1;;;0;Arial;12;0;-16777216;-1;0;0;0;
;;0;Arial;12;0;-16777216;-1;;;0;Arial;12;0;-16777216;-1;0;0;0;
;;0;Arial;12;0;-16777216;-1;;;0;Arial;12;0;-16777216;-1;0;0;0;
;;0;Arial;12;0;-16777216;-1;;;0;Arial;12;0;-16777216;-1;0;0;0;
;;0;Arial;12;0;-16777216;-1;;;0;Arial;12;0;-16777216;-1;0;0;0;
;;0;Arial;12;0;-16777216;-1;;;0;Arial;12;0;-16777216;-1;0;0;0;
;;0;Arial;12;0;-16777216;-1;;;0;Arial;12;0;-16777216;-1;0;0;0;
;;0;Arial;12;0;-16777216;-1;;;0;Arial;12;0;-16777216;-1;0;0;0;
;;0;Arial;12;0;-16777216;-1;;;0;Arial;12;0;-16777216;-1;0;0;0;
;;0;Arial;12;0;-16777216;-1;;;0;Arial;12;0;-16777216;-1;0;0;0;
;;0;Arial;12;0;-16777216;-1;;;0;Arial;12;0;-16777216;-1;0;0;0;
;;0;Arial;12;0;-16777216;-1;;;0;Arial;12;0;-16777216;-1;0;0;0;
